customer_id,acquisition_channel,signup_month,cac
81,Referral,2023-03-01,87.67
82,Paid Search,2023-03-01,369.43
83,Referral,2023-03-01,100.03
84,Outbound,2023-03-01,457.17
85,Content,2023-03-01,174.09
86,Paid Search,2023-04-01,578.02
87,Outbound,2023-04-01,800.76
88,Partners,2023-04-01,300.43
89,Paid Search,2023-04-01,559.59
90,Paid Search,2023-04-01,284.03
91,Outbound,2023-04-01,512.21
92,Partners,2023-04-01,292.23
93,Partners,2023-04-01,474.02
94,Outbound,2023-04-01,885.72
95,Outbound,2023-04-01,314.87
96,Referral,2023-04-01,111.76
97,Outbound,2023-04-01,772.42
98,Paid Search,2023-04-01,215.49
99,Content,2023-04-01,259.65
100,Content,2023-04-01,260.52
101,Outbound,2023-04-01,696.02
102,Content,2023-04-01,270.16
103,Referral,2023-04-01,126.41
104,Partners,2023-04-01,159.66
105,Referral,2023-04-01,194.38
106,Referral,2023-04-01,139.49
107,Referral,2023-04-01,97.05
108,Partners,2023-04-01,190.48
109,Partners,2023-04-01,165.54
110,Content,2023-04-01,283.63
111,Partners,2023-04-01,479.09
112,Outbound,2023-04-01,341.98
113,Referral,2023-04-01,149.51
114,Paid Search,2023-04-01,320.13
115,Referral,2023-04-01,98.93
116,Referral,2023-04-01,78.78
117,Content,2023-04-01,278.62
118,Partners,2023-04-01,292.13
119,Paid Search,2023-04-01,284.07
120,Partners,2023-04-01,262.79
121,Content,2023-04-01,127.01
122,Content,2023-04-01,291.16
123,Outbound,2023-04-01,470.27
124,Partners,2023-04-01,436.45
125,Outbound,2023-04-01,434.78
126,Outbound,2023-04-01,327.73
127,Content,2023-04-01,249.07
128,Content,2023-04-01,218.55
129,Outbound,2023-04-01,530.39
130,Content,2023-04-01,224.33
131,Paid Search,2023-04-01,544.18
132,Paid Search,2023-04-01,287.54
133,Partners,2023-04-01,345.09
134,Paid Search,2023-04-01,520.57
135,Partners,2023-04-01,358.41
136,Content,2023-04-01,238.24
137,Partners,2023-04-01,467.4
138,Content,2023-04-01,243.6
139,Content,2023-04-01,245.39
140,Referral,2023-04-01,128.19
141,Outbound,2023-04-01,346.49
142,Referral,2023-04-01,100.38
143,Partners,2023-05-01,202.79
144,Content,2023-05-01,235.41
145,Paid Search,2023-05-01,332.35
146,Content,2023-05-01,125.5
147,Content,2023-05-01,249.36
148,Paid Search,2023-05-01,506.24
149,Content,2023-05-01,287.4
150,Referral,2023-05-01,178.02
151,Content,2023-05-01,241.62
152,Partners,2023-05-01,320.88
153,Referral,2023-05-01,54.35
154,Referral,2023-05-01,169.72
155,Outbound,2023-05-01,851.72
156,Partners,2023-05-01,467.43
157,Partners,2023-05-01,159.49
158,Content,2023-05-01,181.57
159,Paid Search,2023-05-01,330.94
160,Content,2023-05-01,247.47
161,Content,2023-05-01,289.26
162,Content,2023-05-01,98.02
163,Paid Search,2023-05-01,220.83
164,Referral,2023-05-01,60.29
165,Paid Search,2023-05-01,579.84
166,Outbound,2023-05-01,672.8
167,Outbound,2023-05-01,701.68
168,Partners,2023-05-01,312.76
169,Referral,2023-05-01,75.17
170,Partners,2023-05-01,401.43
171,Outbound,2023-05-01,364.86
172,Paid Search,2023-05-01,430.32
173,Content,2023-05-01,237.3
174,Paid Search,2023-05-01,532.23
175,Outbound,2023-05-01,763.49
176,Partners,2023-05-01,428.68
177,Partners,2023-05-01,271.52
178,Content,2023-05-01,95.17
179,Referral,2023-05-01,113.01
180,Content,2023-05-01,291.37
181,Content,2023-05-01,175.81
182,Partners,2023-05-01,244.53
183,Partners,2023-05-01,312.71
184,Partners,2023-05-01,448.1
185,Paid Search,2023-05-01,380.32
186,Content,2023-05-01,227.0
187,Referral,2023-05-01,177.64
188,Outbound,2023-05-01,512.89
189,Referral,2023-05-01,182.05
190,Referral,2023-05-01,127.49
191,Outbound,2023-05-01,732.04
192,Content,2023-05-01,132.87
193,Content,2023-05-01,187.98
194,Paid Search,2023-05-01,288.64
195,Outbound,2023-05-01,648.93
196,Content,2023-05-01,155.63
197,Partners,2023-05-01,396.0
198,Referral,2023-05-01,84.58
199,Outbound,2023-05-01,745.73
200,Outbound,2023-05-01,743.16
201,Referral,2023-05-01,196.49
202,Partners,2023-05-01,493.18
203,Outbound,2023-05-01,516.53
204,Referral,2023-05-01,130.12
205,Referral,2023-05-01,58.18
206,Referral,2023-05-01,68.94
207,Content,2023-05-01,82.7
208,Referral,2023-05-01,116.07
209,Outbound,2023-05-01,451.49
210,Content,2023-05-01,94.38
211,Content,2023-05-01,218.48
212,Paid Search,2023-05-01,524.46
213,Referral,2023-05-01,87.23
214,Partners,2023-05-01,362.21
215,Partners,2023-05-01,332.9
216,Content,2023-05-01,145.42
217,Partners,2023-05-01,256.88
218,Partners,2023-05-01,486.04
219,Paid Search,2023-05-01,283.12
220,Outbound,2023-05-01,348.71
221,Outbound,2023-05-01,345.04
222,Paid Search,2023-06-01,475.75
223,Content,2023-06-01,130.92
224,Referral,2023-06-01,118.1
225,Outbound,2023-06-01,772.7
226,Partners,2023-06-01,476.78
227,Content,2023-06-01,129.46
228,Outbound,2023-06-01,795.98
229,Paid Search,2023-06-01,517.05
230,Partners,2023-06-01,349.22
231,Referral,2023-06-01,120.3
232,Referral,2023-06-01,191.4
233,Partners,2023-06-01,303.22
234,Partners,2023-06-01,301.21
235,Referral,2023-06-01,53.88
236,Outbound,2023-06-01,801.58
237,Partners,2023-06-01,157.26
238,Referral,2023-06-01,164.47
239,Outbound,2023-06-01,690.91
240,Referral,2023-06-01,137.8
241,Content,2023-06-01,183.4
242,Content,2023-06-01,227.43
243,Outbound,2023-06-01,716.2
244,Referral,2023-06-01,110.07
245,Partners,2023-06-01,180.82
246,Referral,2023-06-01,195.53
247,Content,2023-06-01,261.48
248,Paid Search,2023-06-01,417.04
249,Content,2023-06-01,194.06
250,Partners,2023-06-01,368.89
251,Paid Search,2023-06-01,419.69
252,Referral,2023-06-01,154.74
253,Paid Search,2023-06-01,452.01
254,Outbound,2023-06-01,486.45
255,Paid Search,2023-06-01,237.28
256,Paid Search,2023-06-01,246.99
257,Outbound,2023-06-01,729.96
258,Partners,2023-06-01,295.42
259,Content,2023-06-01,133.62
260,Partners,2023-06-01,216.71
261,Partners,2023-06-01,457.76
262,Paid Search,2023-06-01,516.0
263,Content,2023-06-01,253.3
264,Referral,2023-06-01,92.43
265,Referral,2023-06-01,136.99
266,Content,2023-06-01,178.24
267,Content,2023-06-01,201.42
268,Partners,2023-06-01,476.5
269,Outbound,2023-06-01,443.28
270,Content,2023-06-01,250.62
271,Paid Search,2023-06-01,389.19
272,Content,2023-06-01,226.01
273,Outbound,2023-06-01,322.21
274,Partners,2023-06-01,266.2
275,Paid Search,2023-06-01,376.12
276,Partners,2023-06-01,155.37
277,Outbound,2023-06-01,692.87
278,Outbound,2023-06-01,768.92
279,Referral,2023-06-01,153.91
280,Paid Search,2023-06-01,540.94
281,Partners,2023-06-01,260.83
282,Content,2023-06-01,87.9
283,Paid Search,2023-06-01,473.76
284,Referral,2023-06-01,162.01
285,Content,2023-06-01,247.28
286,Paid Search,2023-06-01,477.6
287,Paid Search,2023-06-01,518.46
288,Referral,2023-06-01,114.6
289,Outbound,2023-06-01,639.56
290,Outbound,2023-06-01,347.38
291,Content,2023-06-01,132.98
292,Partners,2023-06-01,311.4
293,Referral,2023-06-01,150.03
294,Content,2023-06-01,229.07
295,Outbound,2023-06-01,867.14
296,Partners,2023-06-01,486.71
297,Referral,2023-06-01,95.32
298,Content,2023-06-01,103.46
299,Content,2023-06-01,206.46
300,Referral,2023-06-01,174.51
301,Content,2023-06-01,204.5
302,Paid Search,2023-06-01,498.07
303,Referral,2023-06-01,84.52
304,Referral,2023-06-01,78.52
305,Referral,2023-06-01,158.14
306,Outbound,2023-06-01,842.04
307,Paid Search,2023-06-01,376.33
308,Partners,2023-06-01,195.99
309,Referral,2023-06-01,112.33
310,Outbound,2023-06-01,623.64
311,Referral,2023-06-01,187.02
312,Outbound,2023-06-01,794.81
313,Content,2023-06-01,144.93
314,Referral,2023-06-01,120.25
315,Paid Search,2023-07-01,586.6
316,Content,2023-07-01,257.01
317,Referral,2023-07-01,109.19
318,Referral,2023-07-01,118.22
319,Referral,2023-07-01,173.36
320,Referral,2023-07-01,85.07
321,Paid Search,2023-07-01,577.27
322,Referral,2023-07-01,83.21
323,Paid Search,2023-07-01,385.71
324,Referral,2023-07-01,67.5
325,Paid Search,2023-07-01,321.75
326,Content,2023-07-01,131.66
327,Partners,2023-07-01,308.78
328,Partners,2023-07-01,409.79
329,Outbound,2023-07-01,692.95
330,Content,2023-07-01,286.59
331,Referral,2023-07-01,105.58
332,Content,2023-07-01,131.94
333,Referral,2023-07-01,152.85
334,Partners,2023-07-01,375.69
335,Paid Search,2023-07-01,275.92
336,Paid Search,2023-07-01,529.68
337,Paid Search,2023-07-01,456.68
338,Partners,2023-07-01,167.7
339,Referral,2023-07-01,68.89
340,Partners,2023-07-01,440.44
341,Partners,2023-07-01,225.58
342,Outbound,2023-07-01,388.53
343,Partners,2023-07-01,450.44
344,Outbound,2023-07-01,624.13
345,Outbound,2023-07-01,819.87
346,Outbound,2023-07-01,773.99
347,Outbound,2023-07-01,309.47
348,Referral,2023-07-01,161.26
349,Partners,2023-07-01,172.25
350,Content,2023-07-01,192.91
351,Paid Search,2023-07-01,288.62
352,Partners,2023-07-01,424.13
353,Partners,2023-07-01,375.17
354,Paid Search,2023-07-01,391.59
355,Content,2023-07-01,103.75
356,Content,2023-07-01,97.77
357,Partners,2023-07-01,194.17
358,Partners,2023-07-01,341.92
359,Referral,2023-07-01,139.61
360,Referral,2023-07-01,140.81
361,Paid Search,2023-07-01,245.77
362,Partners,2023-07-01,225.26
363,Content,2023-07-01,171.04
364,Content,2023-07-01,240.51
365,Referral,2023-07-01,149.77
366,Referral,2023-07-01,153.02
367,Content,2023-07-01,262.99
368,Paid Search,2023-07-01,497.84
369,Referral,2023-07-01,133.46
370,Partners,2023-07-01,346.59
371,Paid Search,2023-07-01,549.44
372,Content,2023-07-01,238.63
373,Referral,2023-07-01,102.75
374,Partners,2023-07-01,204.16
375,Content,2023-07-01,103.81
376,Partners,2023-07-01,416.91
377,Partners,2023-07-01,300.19
378,Partners,2023-07-01,436.45
379,Partners,2023-07-01,344.86
380,Partners,2023-07-01,440.31
381,Referral,2023-07-01,90.99
382,Referral,2023-07-01,102.65
383,Outbound,2023-07-01,639.79
384,Content,2023-07-01,243.01
385,Paid Search,2023-07-01,412.19
386,Content,2023-07-01,155.0
387,Referral,2023-07-01,98.66
388,Partners,2023-07-01,459.17
389,Outbound,2023-07-01,670.7
390,Paid Search,2023-07-01,464.78
391,Content,2023-07-01,171.12
392,Outbound,2023-07-01,368.29
393,Content,2023-07-01,229.21
394,Partners,2023-07-01,383.5
395,Paid Search,2023-07-01,593.78
396,Paid Search,2023-07-01,320.57
397,Outbound,2023-07-01,758.5
398,Referral,2023-07-01,51.16
399,Content,2023-07-01,163.65
400,Outbound,2023-07-01,800.01
401,Referral,2023-07-01,179.26
402,Paid Search,2023-07-01,383.9
403,Paid Search,2023-07-01,430.3
404,Partners,2023-07-01,374.05
405,Referral,2023-07-01,53.13
406,Referral,2023-07-01,192.14
407,Content,2023-07-01,282.35
408,Paid Search,2023-07-01,242.35
409,Content,2023-07-01,195.27
410,Content,2023-07-01,244.08
411,Outbound,2023-07-01,400.88
412,Partners,2023-07-01,335.71
413,Outbound,2023-07-01,509.63
414,Outbound,2023-07-01,387.87
415,Outbound,2023-07-01,391.72
416,Paid Search,2023-07-01,509.14
417,Content,2023-07-01,204.02
418,Partners,2023-07-01,473.45
419,Partners,2023-07-01,495.29
420,Referral,2023-07-01,144.08
421,Outbound,2023-07-01,581.35
422,Referral,2023-07-01,138.71
423,Referral,2023-07-01,96.56
424,Content,2023-07-01,161.12
425,Referral,2023-07-01,179.64
426,Paid Search,2023-07-01,402.83
427,Content,2023-07-01,289.93
428,Paid Search,2023-08-01,523.93
429,Outbound,2023-08-01,585.38
430,Outbound,2023-08-01,570.31
431,Referral,2023-08-01,62.65
432,Outbound,2023-08-01,724.57
433,Content,2023-08-01,214.16
434,Referral,2023-08-01,92.43
435,Content,2023-08-01,229.36
436,Paid Search,2023-08-01,458.92
437,Paid Search,2023-08-01,423.19
438,Content,2023-08-01,239.22
439,Partners,2023-08-01,266.68
440,Partners,2023-08-01,470.86
441,Referral,2023-08-01,154.77
442,Content,2023-08-01,235.94
443,Paid Search,2023-08-01,350.67
444,Referral,2023-08-01,150.52
445,Partners,2023-08-01,384.66
446,Partners,2023-08-01,276.91
447,Outbound,2023-08-01,505.04
448,Content,2023-08-01,299.99
449,Outbound,2023-08-01,806.66
450,Paid Search,2023-08-01,415.91
451,Partners,2023-08-01,267.87
452,Partners,2023-08-01,281.85
453,Outbound,2023-08-01,715.71
454,Partners,2023-08-01,207.94
455,Content,2023-08-01,160.15
456,Outbound,2023-08-01,666.36
457,Content,2023-08-01,132.62
458,Content,2023-08-01,122.68
459,Partners,2023-08-01,311.59
460,Referral,2023-08-01,125.44
461,Content,2023-08-01,259.72
462,Partners,2023-08-01,237.5
463,Content,2023-08-01,202.0
464,Paid Search,2023-08-01,406.36
465,Paid Search,2023-08-01,505.25
466,Referral,2023-08-01,127.0
467,Content,2023-08-01,280.31
468,Content,2023-08-01,284.7
469,Content,2023-08-01,190.44
470,Outbound,2023-08-01,348.96
471,Outbound,2023-08-01,858.5
472,Referral,2023-08-01,70.64
473,Referral,2023-08-01,120.87
474,Outbound,2023-08-01,581.47
475,Partners,2023-08-01,177.73
476,Referral,2023-08-01,72.43
477,Partners,2023-08-01,188.92
478,Referral,2023-08-01,68.28
479,Outbound,2023-08-01,776.34
480,Content,2023-08-01,264.07
481,Content,2023-08-01,83.62
482,Partners,2023-08-01,401.49
483,Referral,2023-08-01,142.22
484,Outbound,2023-08-01,412.39
485,Paid Search,2023-08-01,344.24
486,Partners,2023-08-01,425.24
487,Partners,2023-08-01,286.66
488,Content,2023-08-01,165.11
489,Referral,2023-08-01,52.44
490,Paid Search,2023-08-01,493.18
491,Paid Search,2023-08-01,494.07
492,Referral,2023-08-01,102.84
493,Referral,2023-08-01,76.26
494,Content,2023-08-01,185.28
495,Outbound,2023-08-01,337.86
496,Content,2023-08-01,124.35
497,Outbound,2023-08-01,489.36
498,Referral,2023-08-01,198.37
499,Partners,2023-08-01,162.82
500,Outbound,2023-08-01,817.28
501,Paid Search,2023-08-01,332.77
502,Paid Search,2023-08-01,374.78
503,Content,2023-08-01,276.82
504,Content,2023-08-01,121.1
505,Content,2023-08-01,255.4
506,Referral,2023-08-01,159.06
507,Paid Search,2023-08-01,598.04
508,Outbound,2023-08-01,492.73
509,Paid Search,2023-08-01,318.26
510,Content,2023-08-01,173.75
511,Content,2023-08-01,89.32
512,Referral,2023-08-01,115.24
513,Paid Search,2023-08-01,455.01
514,Referral,2023-08-01,162.48
515,Outbound,2023-08-01,385.67
516,Partners,2023-08-01,303.36
517,Outbound,2023-08-01,767.11
518,Referral,2023-08-01,192.42
519,Paid Search,2023-08-01,471.62
520,Referral,2023-08-01,164.46
521,Partners,2023-08-01,278.43
522,Referral,2023-08-01,87.44
523,Paid Search,2023-08-01,274.42
524,Partners,2023-08-01,346.59
525,Referral,2023-08-01,155.61
526,Outbound,2023-08-01,471.35
527,Content,2023-08-01,109.86
528,Paid Search,2023-08-01,559.47
529,Content,2023-08-01,258.31
530,Referral,2023-08-01,156.43
531,Partners,2023-08-01,461.97
532,Outbound,2023-08-01,856.39
533,Outbound,2023-08-01,605.25
534,Paid Search,2023-08-01,516.83
535,Outbound,2023-08-01,315.77
536,Partners,2023-08-01,313.59
537,Partners,2023-08-01,459.49
538,Paid Search,2023-09-01,599.84
539,Content,2023-09-01,249.22
540,Partners,2023-09-01,490.33
541,Paid Search,2023-09-01,472.04
542,Referral,2023-09-01,174.36
543,Partners,2023-09-01,213.69
544,Outbound,2023-09-01,846.43
545,Paid Search,2023-09-01,407.24
546,Referral,2023-09-01,98.4
547,Outbound,2023-09-01,864.54
548,Referral,2023-09-01,87.59
549,Partners,2023-09-01,368.76
550,Partners,2023-09-01,325.9
551,Outbound,2023-09-01,648.39
552,Outbound,2023-09-01,732.38
553,Partners,2023-09-01,473.38
554,Paid Search,2023-09-01,211.35
555,Paid Search,2023-09-01,508.41
556,Referral,2023-09-01,165.04
557,Content,2023-09-01,86.66
558,Partners,2023-09-01,484.83
559,Content,2023-09-01,257.62
560,Content,2023-09-01,96.05
561,Paid Search,2023-09-01,366.25
562,Content,2023-09-01,213.47
563,Referral,2023-09-01,97.9
564,Referral,2023-09-01,69.61
565,Referral,2023-09-01,65.93
566,Outbound,2023-09-01,460.48
567,Outbound,2023-09-01,330.36
568,Content,2023-09-01,171.99
569,Outbound,2023-09-01,860.25
570,Referral,2023-09-01,73.9
571,Partners,2023-09-01,457.68
572,Content,2023-09-01,287.95
573,Partners,2023-09-01,234.26
574,Partners,2023-09-01,167.69
575,Content,2023-09-01,265.43
576,Content,2023-09-01,81.8
577,Paid Search,2023-09-01,552.98
578,Referral,2023-09-01,104.89
579,Content,2023-09-01,203.6
580,Referral,2023-09-01,61.03
581,Partners,2023-09-01,342.45
582,Partners,2023-09-01,191.58
583,Paid Search,2023-09-01,517.96
584,Referral,2023-09-01,104.84
585,Outbound,2023-09-01,605.47
586,Partners,2023-09-01,163.62
587,Referral,2023-09-01,127.9
588,Outbound,2023-09-01,609.3
589,Referral,2023-09-01,97.78
590,Content,2023-09-01,242.65
591,Referral,2023-09-01,126.1
592,Partners,2023-09-01,398.06
593,Referral,2023-09-01,52.5
594,Referral,2023-09-01,196.98
595,Partners,2023-09-01,464.57
596,Paid Search,2023-09-01,306.21
597,Partners,2023-09-01,402.49
598,Partners,2023-09-01,333.48
599,Partners,2023-09-01,283.07
600,Outbound,2023-09-01,868.92
601,Paid Search,2023-09-01,376.42
602,Content,2023-09-01,231.91
603,Content,2023-09-01,214.53
604,Content,2023-09-01,241.88
605,Paid Search,2023-09-01,407.47
606,Partners,2023-09-01,381.78
607,Partners,2023-09-01,484.84
608,Content,2023-09-01,155.31
609,Referral,2023-09-01,180.15
610,Referral,2023-09-01,78.84
611,Outbound,2023-09-01,479.1
612,Referral,2023-09-01,155.74
613,Content,2023-09-01,156.74
614,Referral,2023-09-01,136.02
615,Partners,2023-09-01,493.06
616,Referral,2023-09-01,170.69
617,Referral,2023-09-01,193.3
618,Paid Search,2023-09-01,376.95
619,Referral,2023-09-01,82.1
620,Partners,2023-09-01,346.71
621,Referral,2023-09-01,142.35
622,Partners,2023-09-01,167.77
623,Partners,2023-09-01,231.49
624,Paid Search,2023-09-01,486.94
625,Paid Search,2023-09-01,254.99
626,Partners,2023-09-01,205.28
627,Content,2023-09-01,123.88
628,Referral,2023-09-01,146.88
629,Paid Search,2023-09-01,292.89
630,Paid Search,2023-09-01,270.03
631,Outbound,2023-09-01,321.8
632,Content,2023-09-01,120.99
633,Referral,2023-09-01,51.39
634,Partners,2023-09-01,474.96
635,Referral,2023-09-01,198.36
636,Partners,2023-09-01,461.24
637,Outbound,2023-09-01,580.81
638,Outbound,2023-09-01,498.41
639,Content,2023-09-01,238.09
640,Paid Search,2023-09-01,516.31
641,Partners,2023-09-01,217.61
642,Partners,2023-09-01,463.96
643,Content,2023-09-01,99.08
644,Paid Search,2023-09-01,256.24
645,Referral,2023-09-01,51.02
646,Content,2023-09-01,245.83
647,Referral,2023-09-01,158.43
648,Paid Search,2023-09-01,343.82
649,Outbound,2023-09-01,370.93
650,Referral,2023-09-01,152.91
651,Referral,2023-09-01,145.81
652,Referral,2023-09-01,83.13
653,Outbound,2023-09-01,572.99
654,Partners,2023-09-01,395.68
655,Content,2023-09-01,256.44
656,Outbound,2023-09-01,708.21
657,Partners,2023-09-01,178.65
658,Content,2023-09-01,159.59
659,Partners,2023-09-01,440.07
660,Partners,2023-09-01,337.83
661,Outbound,2023-09-01,612.2
662,Paid Search,2023-09-01,486.77
663,Content,2023-09-01,192.28
664,Paid Search,2023-09-01,405.3
665,Content,2023-09-01,202.94
666,Referral,2023-09-01,109.39
667,Paid Search,2023-09-01,431.32
668,Paid Search,2023-09-01,480.15
669,Partners,2023-09-01,477.1
670,Paid Search,2023-09-01,388.83
671,Referral,2023-10-01,165.35
672,Content,2023-10-01,276.09
673,Content,2023-10-01,279.49
674,Content,2023-10-01,292.11
675,Partners,2023-10-01,451.1
676,Paid Search,2023-10-01,414.9
677,Partners,2023-10-01,492.55
678,Paid Search,2023-10-01,591.4
679,Content,2023-10-01,199.78
680,Partners,2023-10-01,230.38
681,Content,2023-10-01,140.64
682,Paid Search,2023-10-01,464.08
683,Partners,2023-10-01,459.31
684,Paid Search,2023-10-01,226.92
685,Partners,2023-10-01,359.22
686,Paid Search,2023-10-01,217.69
687,Content,2023-10-01,127.8
688,Paid Search,2023-10-01,597.39
689,Outbound,2023-10-01,738.91
690,Referral,2023-10-01,165.88
691,Referral,2023-10-01,181.44
692,Partners,2023-10-01,255.18
693,Paid Search,2023-10-01,436.67
694,Outbound,2023-10-01,556.32
695,Content,2023-10-01,155.77
696,Content,2023-10-01,150.12
697,Content,2023-10-01,145.98
698,Outbound,2023-10-01,584.11
699,Outbound,2023-10-01,724.55
700,Content,2023-10-01,203.72
701,Content,2023-10-01,109.5
702,Outbound,2023-10-01,498.16
703,Paid Search,2023-10-01,538.85
704,Paid Search,2023-10-01,531.76
705,Paid Search,2023-10-01,469.47
706,Partners,2023-10-01,175.47
707,Partners,2023-10-01,345.6
708,Content,2023-10-01,279.55
709,Referral,2023-10-01,52.3
710,Outbound,2023-10-01,370.39
711,Content,2023-10-01,233.04
712,Outbound,2023-10-01,443.6
713,Referral,2023-10-01,107.1
714,Partners,2023-10-01,257.95
715,Referral,2023-10-01,124.59
716,Paid Search,2023-10-01,488.97
717,Referral,2023-10-01,105.61
718,Content,2023-10-01,270.1
719,Outbound,2023-10-01,631.99
720,Partners,2023-10-01,296.15
721,Outbound,2023-10-01,438.01
722,Partners,2023-10-01,324.76
723,Referral,2023-10-01,173.24
724,Content,2023-10-01,241.21
725,Referral,2023-10-01,158.05
726,Content,2023-10-01,275.66
727,Paid Search,2023-10-01,535.63
728,Paid Search,2023-10-01,467.29
729,Paid Search,2023-10-01,537.02
730,Outbound,2023-10-01,390.62
731,Outbound,2023-10-01,523.92
732,Partners,2023-10-01,476.87
733,Content,2023-10-01,83.46
734,Partners,2023-10-01,154.15
735,Partners,2023-10-01,337.51
736,Referral,2023-10-01,171.97
737,Content,2023-10-01,280.15
738,Paid Search,2023-10-01,409.75
739,Outbound,2023-10-01,615.87
740,Referral,2023-10-01,109.53
741,Referral,2023-10-01,118.85
742,Outbound,2023-10-01,435.51
743,Paid Search,2023-10-01,543.29
744,Paid Search,2023-10-01,351.71
745,Partners,2023-10-01,372.86
746,Outbound,2023-10-01,807.2
747,Referral,2023-10-01,178.69
748,Paid Search,2023-10-01,567.66
749,Outbound,2023-10-01,820.87
750,Partners,2023-10-01,166.3
751,Paid Search,2023-10-01,312.15
752,Partners,2023-10-01,161.52
753,Referral,2023-10-01,81.07
754,Outbound,2023-10-01,727.63
755,Content,2023-10-01,145.84
756,Partners,2023-10-01,442.13
757,Content,2023-10-01,198.92
758,Content,2023-10-01,110.79
759,Paid Search,2023-10-01,589.73
760,Paid Search,2023-10-01,292.86
761,Paid Search,2023-10-01,507.6
762,Partners,2023-10-01,420.74
763,Paid Search,2023-10-01,513.42
764,Content,2023-10-01,158.28
765,Content,2023-10-01,229.53
766,Content,2023-10-01,216.1
767,Outbound,2023-10-01,349.22
768,Outbound,2023-10-01,770.33
769,Outbound,2023-10-01,490.01
770,Paid Search,2023-10-01,577.18
771,Content,2023-10-01,139.35
772,Outbound,2023-10-01,558.59
773,Partners,2023-10-01,292.82
774,Paid Search,2023-10-01,421.69
775,Partners,2023-10-01,263.55
776,Content,2023-10-01,171.04
777,Paid Search,2023-10-01,423.81
778,Outbound,2023-10-01,401.75
779,Content,2023-10-01,139.16
780,Referral,2023-10-01,59.49
781,Content,2023-10-01,145.95
782,Paid Search,2023-10-01,577.69
783,Content,2023-10-01,123.02
784,Paid Search,2023-10-01,202.71
785,Content,2023-10-01,216.44
786,Referral,2023-10-01,114.59
787,Partners,2023-10-01,262.23
788,Outbound,2023-10-01,406.58
789,Content,2023-10-01,144.12
790,Content,2023-10-01,252.03
791,Referral,2023-10-01,172.47
792,Content,2023-10-01,285.05
793,Outbound,2023-10-01,627.38
794,Partners,2023-10-01,404.52
795,Outbound,2023-10-01,474.8
796,Paid Search,2023-10-01,518.26
797,Content,2023-10-01,110.62
798,Referral,2023-10-01,148.8
799,Content,2023-10-01,96.27
800,Partners,2023-10-01,290.28
801,Partners,2023-10-01,454.37
802,Content,2023-10-01,253.96
803,Referral,2023-10-01,171.84
804,Partners,2023-10-01,179.74
805,Outbound,2023-10-01,513.01
806,Partners,2023-10-01,494.26
