customer_id,signup_month,acquisition_channel,initial_plan_id
151,2023-05-01,Content,1
152,2023-05-01,Partners,2
153,2023-05-01,Referral,1
154,2023-05-01,Referral,2
155,2023-05-01,Outbound,2
156,2023-05-01,Partners,1
157,2023-05-01,Partners,1
158,2023-05-01,Content,1
159,2023-05-01,Paid Search,1
160,2023-05-01,Content,1
161,2023-05-01,Content,1
162,2023-05-01,Content,1
163,2023-05-01,Paid Search,2
164,2023-05-01,Referral,1
165,2023-05-01,Paid Search,2
166,2023-05-01,Outbound,2
167,2023-05-01,Outbound,1
168,2023-05-01,Partners,3
169,2023-05-01,Referral,2
170,2023-05-01,Partners,3
171,2023-05-01,Outbound,3
172,2023-05-01,Paid Search,3
173,2023-05-01,Content,1
174,2023-05-01,Paid Search,1
175,2023-05-01,Outbound,1
176,2023-05-01,Partners,2
177,2023-05-01,Partners,2
178,2023-05-01,Content,2
179,2023-05-01,Referral,1
180,2023-05-01,Content,1
181,2023-05-01,Content,2
182,2023-05-01,Partners,3
183,2023-05-01,Partners,2
184,2023-05-01,Partners,1
185,2023-05-01,Paid Search,1
186,2023-05-01,Content,1
187,2023-05-01,Referral,1
188,2023-05-01,Outbound,1
189,2023-05-01,Referral,1
190,2023-05-01,Referral,1
191,2023-05-01,Outbound,1
192,2023-05-01,Content,1
193,2023-05-01,Content,2
194,2023-05-01,Paid Search,1
195,2023-05-01,Outbound,1
196,2023-05-01,Content,1
197,2023-05-01,Partners,1
198,2023-05-01,Referral,1
199,2023-05-01,Outbound,1
200,2023-05-01,Outbound,1
201,2023-05-01,Referral,2
202,2023-05-01,Partners,1
203,2023-05-01,Outbound,1
204,2023-05-01,Referral,1
205,2023-05-01,Referral,1
206,2023-05-01,Referral,2
207,2023-05-01,Content,1
208,2023-05-01,Referral,1
209,2023-05-01,Outbound,3
210,2023-05-01,Content,1
211,2023-05-01,Content,1
212,2023-05-01,Paid Search,1
213,2023-05-01,Referral,1
214,2023-05-01,Partners,2
215,2023-05-01,Partners,1
216,2023-05-01,Content,3
217,2023-05-01,Partners,3
218,2023-05-01,Partners,1
219,2023-05-01,Paid Search,3
220,2023-05-01,Outbound,1
221,2023-05-01,Outbound,1
222,2023-06-01,Paid Search,1
223,2023-06-01,Content,1
224,2023-06-01,Referral,2
225,2023-06-01,Outbound,3
226,2023-06-01,Partners,2
227,2023-06-01,Content,1
228,2023-06-01,Outbound,3
229,2023-06-01,Paid Search,1
230,2023-06-01,Partners,2
231,2023-06-01,Referral,1
232,2023-06-01,Referral,2
233,2023-06-01,Partners,1
234,2023-06-01,Partners,1
235,2023-06-01,Referral,2
236,2023-06-01,Outbound,3
237,2023-06-01,Partners,1
238,2023-06-01,Referral,1
239,2023-06-01,Outbound,1
240,2023-06-01,Referral,1
241,2023-06-01,Content,3
242,2023-06-01,Content,1
243,2023-06-01,Outbound,1
244,2023-06-01,Referral,2
245,2023-06-01,Partners,1
246,2023-06-01,Referral,1
247,2023-06-01,Content,2
248,2023-06-01,Paid Search,2
249,2023-06-01,Content,1
250,2023-06-01,Partners,2
251,2023-06-01,Paid Search,1
252,2023-06-01,Referral,1
253,2023-06-01,Paid Search,1
254,2023-06-01,Outbound,2
255,2023-06-01,Paid Search,1
256,2023-06-01,Paid Search,1
257,2023-06-01,Outbound,1
258,2023-06-01,Partners,2
259,2023-06-01,Content,3
260,2023-06-01,Partners,1
261,2023-06-01,Partners,1
262,2023-06-01,Paid Search,1
263,2023-06-01,Content,1
264,2023-06-01,Referral,2
265,2023-06-01,Referral,2
266,2023-06-01,Content,2
267,2023-06-01,Content,1
268,2023-06-01,Partners,1
269,2023-06-01,Outbound,3
270,2023-06-01,Content,1
271,2023-06-01,Paid Search,1
272,2023-06-01,Content,1
273,2023-06-01,Outbound,1
274,2023-06-01,Partners,3
275,2023-06-01,Paid Search,2
276,2023-06-01,Partners,3
277,2023-06-01,Outbound,1
278,2023-06-01,Outbound,1
279,2023-06-01,Referral,1
280,2023-06-01,Paid Search,2
281,2023-06-01,Partners,1
282,2023-06-01,Content,2
283,2023-06-01,Paid Search,1
284,2023-06-01,Referral,3
285,2023-06-01,Content,3
286,2023-06-01,Paid Search,1
287,2023-06-01,Paid Search,1
288,2023-06-01,Referral,1
289,2023-06-01,Outbound,1
290,2023-06-01,Outbound,1
291,2023-06-01,Content,2
292,2023-06-01,Partners,1
293,2023-06-01,Referral,1
294,2023-06-01,Content,3
295,2023-06-01,Outbound,1
296,2023-06-01,Partners,1
297,2023-06-01,Referral,1
298,2023-06-01,Content,2
299,2023-06-01,Content,1
300,2023-06-01,Referral,1
301,2023-06-01,Content,1
302,2023-06-01,Paid Search,3
303,2023-06-01,Referral,2
304,2023-06-01,Referral,1
305,2023-06-01,Referral,2
306,2023-06-01,Outbound,2
307,2023-06-01,Paid Search,1
308,2023-06-01,Partners,1
309,2023-06-01,Referral,1
310,2023-06-01,Outbound,1
311,2023-06-01,Referral,1
312,2023-06-01,Outbound,1
313,2023-06-01,Content,3
314,2023-06-01,Referral,2
315,2023-07-01,Paid Search,1
316,2023-07-01,Content,3
317,2023-07-01,Referral,1
318,2023-07-01,Referral,1
319,2023-07-01,Referral,1
320,2023-07-01,Referral,1
321,2023-07-01,Paid Search,2
322,2023-07-01,Referral,3
323,2023-07-01,Paid Search,2
324,2023-07-01,Referral,2
325,2023-07-01,Paid Search,3
326,2023-07-01,Content,1
327,2023-07-01,Partners,1
328,2023-07-01,Partners,1
329,2023-07-01,Outbound,2
330,2023-07-01,Content,2
331,2023-07-01,Referral,1
332,2023-07-01,Content,1
333,2023-07-01,Referral,1
334,2023-07-01,Partners,3
335,2023-07-01,Paid Search,1
336,2023-07-01,Paid Search,3
337,2023-07-01,Paid Search,2
338,2023-07-01,Partners,3
339,2023-07-01,Referral,1
340,2023-07-01,Partners,1
341,2023-07-01,Partners,1
342,2023-07-01,Outbound,1
343,2023-07-01,Partners,1
344,2023-07-01,Outbound,3
345,2023-07-01,Outbound,1
346,2023-07-01,Outbound,1
347,2023-07-01,Outbound,1
348,2023-07-01,Referral,1
349,2023-07-01,Partners,1
350,2023-07-01,Content,2
351,2023-07-01,Paid Search,1
352,2023-07-01,Partners,1
353,2023-07-01,Partners,1
354,2023-07-01,Paid Search,1
355,2023-07-01,Content,1
356,2023-07-01,Content,1
357,2023-07-01,Partners,1
358,2023-07-01,Partners,2
359,2023-07-01,Referral,1
360,2023-07-01,Referral,1
361,2023-07-01,Paid Search,2
362,2023-07-01,Partners,2
363,2023-07-01,Content,2
364,2023-07-01,Content,1
365,2023-07-01,Referral,1
366,2023-07-01,Referral,3
367,2023-07-01,Content,1
368,2023-07-01,Paid Search,1
369,2023-07-01,Referral,2
370,2023-07-01,Partners,3
371,2023-07-01,Paid Search,1
372,2023-07-01,Content,2
373,2023-07-01,Referral,2
374,2023-07-01,Partners,1
375,2023-07-01,Content,1
376,2023-07-01,Partners,1
377,2023-07-01,Partners,1
378,2023-07-01,Partners,3
379,2023-07-01,Partners,2
380,2023-07-01,Partners,3
381,2023-07-01,Referral,1
382,2023-07-01,Referral,3
383,2023-07-01,Outbound,2
384,2023-07-01,Content,1
385,2023-07-01,Paid Search,1
386,2023-07-01,Content,1
387,2023-07-01,Referral,1
388,2023-07-01,Partners,1
389,2023-07-01,Outbound,1
390,2023-07-01,Paid Search,1
391,2023-07-01,Content,2
392,2023-07-01,Outbound,2
393,2023-07-01,Content,1
394,2023-07-01,Partners,1
395,2023-07-01,Paid Search,1
396,2023-07-01,Paid Search,1
397,2023-07-01,Outbound,2
398,2023-07-01,Referral,1
399,2023-07-01,Content,1
400,2023-07-01,Outbound,1
401,2023-07-01,Referral,1
402,2023-07-01,Paid Search,1
403,2023-07-01,Paid Search,2
404,2023-07-01,Partners,1
405,2023-07-01,Referral,1
406,2023-07-01,Referral,1
407,2023-07-01,Content,2
408,2023-07-01,Paid Search,1
409,2023-07-01,Content,1
410,2023-07-01,Content,2
411,2023-07-01,Outbound,1
412,2023-07-01,Partners,2
413,2023-07-01,Outbound,3
414,2023-07-01,Outbound,1
415,2023-07-01,Outbound,1
416,2023-07-01,Paid Search,1
417,2023-07-01,Content,1
418,2023-07-01,Partners,1
419,2023-07-01,Partners,2
420,2023-07-01,Referral,2
421,2023-07-01,Outbound,1
422,2023-07-01,Referral,2
423,2023-07-01,Referral,1
424,2023-07-01,Content,1
425,2023-07-01,Referral,1
426,2023-07-01,Paid Search,2
427,2023-07-01,Content,1
428,2023-08-01,Paid Search,1
429,2023-08-01,Outbound,1
430,2023-08-01,Outbound,3
431,2023-08-01,Referral,3
432,2023-08-01,Outbound,1
433,2023-08-01,Content,1
434,2023-08-01,Referral,1
435,2023-08-01,Content,2
436,2023-08-01,Paid Search,2
437,2023-08-01,Paid Search,1
438,2023-08-01,Content,1
439,2023-08-01,Partners,2
440,2023-08-01,Partners,2
441,2023-08-01,Referral,3
442,2023-08-01,Content,1
443,2023-08-01,Paid Search,1
444,2023-08-01,Referral,2
445,2023-08-01,Partners,1
446,2023-08-01,Partners,1
447,2023-08-01,Outbound,3
448,2023-08-01,Content,1
449,2023-08-01,Outbound,1
450,2023-08-01,Paid Search,1
451,2023-08-01,Partners,1
452,2023-08-01,Partners,1
453,2023-08-01,Outbound,1
454,2023-08-01,Partners,2
455,2023-08-01,Content,1
456,2023-08-01,Outbound,3
457,2023-08-01,Content,1
458,2023-08-01,Content,3
459,2023-08-01,Partners,3
460,2023-08-01,Referral,2
461,2023-08-01,Content,3
462,2023-08-01,Partners,1
463,2023-08-01,Content,2
464,2023-08-01,Paid Search,2
465,2023-08-01,Paid Search,1
466,2023-08-01,Referral,1
467,2023-08-01,Content,1
468,2023-08-01,Content,2
469,2023-08-01,Content,1
470,2023-08-01,Outbound,1
471,2023-08-01,Outbound,1
472,2023-08-01,Referral,2
473,2023-08-01,Referral,3
474,2023-08-01,Outbound,2
475,2023-08-01,Partners,1
476,2023-08-01,Referral,1
477,2023-08-01,Partners,1
478,2023-08-01,Referral,1
479,2023-08-01,Outbound,1
480,2023-08-01,Content,1
481,2023-08-01,Content,1
482,2023-08-01,Partners,1
483,2023-08-01,Referral,1
484,2023-08-01,Outbound,1
485,2023-08-01,Paid Search,1
486,2023-08-01,Partners,1
487,2023-08-01,Partners,1
488,2023-08-01,Content,1
489,2023-08-01,Referral,1
490,2023-08-01,Paid Search,1
491,2023-08-01,Paid Search,2
492,2023-08-01,Referral,1
493,2023-08-01,Referral,2
494,2023-08-01,Content,3
495,2023-08-01,Outbound,2
496,2023-08-01,Content,1
497,2023-08-01,Outbound,2
498,2023-08-01,Referral,1
499,2023-08-01,Partners,1
500,2023-08-01,Outbound,1
501,2023-08-01,Paid Search,2
502,2023-08-01,Paid Search,2
503,2023-08-01,Content,2
504,2023-08-01,Content,1
505,2023-08-01,Content,1
506,2023-08-01,Referral,2
507,2023-08-01,Paid Search,1
508,2023-08-01,Outbound,1
509,2023-08-01,Paid Search,1
510,2023-08-01,Content,2
511,2023-08-01,Content,1
512,2023-08-01,Referral,2
513,2023-08-01,Paid Search,1
514,2023-08-01,Referral,1
515,2023-08-01,Outbound,3
516,2023-08-01,Partners,2
517,2023-08-01,Outbound,1
518,2023-08-01,Referral,1
519,2023-08-01,Paid Search,2
520,2023-08-01,Referral,1
521,2023-08-01,Partners,1
522,2023-08-01,Referral,2
523,2023-08-01,Paid Search,1
524,2023-08-01,Partners,1
525,2023-08-01,Referral,2
526,2023-08-01,Outbound,3
527,2023-08-01,Content,1
528,2023-08-01,Paid Search,1
529,2023-08-01,Content,3
530,2023-08-01,Referral,2
531,2023-08-01,Partners,1
532,2023-08-01,Outbound,2
533,2023-08-01,Outbound,2
534,2023-08-01,Paid Search,3
535,2023-08-01,Outbound,2
536,2023-08-01,Partners,1
537,2023-08-01,Partners,1
538,2023-09-01,Paid Search,1
539,2023-09-01,Content,1
540,2023-09-01,Partners,1
541,2023-09-01,Paid Search,1
542,2023-09-01,Referral,1
543,2023-09-01,Partners,2
544,2023-09-01,Outbound,1
545,2023-09-01,Paid Search,2
546,2023-09-01,Referral,1
547,2023-09-01,Outbound,1
548,2023-09-01,Referral,2
549,2023-09-01,Partners,1
550,2023-09-01,Partners,1
551,2023-09-01,Outbound,1
552,2023-09-01,Outbound,2
553,2023-09-01,Partners,1
554,2023-09-01,Paid Search,2
555,2023-09-01,Paid Search,3
556,2023-09-01,Referral,2
557,2023-09-01,Content,2
558,2023-09-01,Partners,1
559,2023-09-01,Content,1
560,2023-09-01,Content,1
561,2023-09-01,Paid Search,1
562,2023-09-01,Content,1
563,2023-09-01,Referral,2
564,2023-09-01,Referral,3
565,2023-09-01,Referral,1
566,2023-09-01,Outbound,1
567,2023-09-01,Outbound,1
568,2023-09-01,Content,2
569,2023-09-01,Outbound,2
570,2023-09-01,Referral,1
571,2023-09-01,Partners,1
572,2023-09-01,Content,1
573,2023-09-01,Partners,1
574,2023-09-01,Partners,1
575,2023-09-01,Content,1
576,2023-09-01,Content,1
577,2023-09-01,Paid Search,1
578,2023-09-01,Referral,2
579,2023-09-01,Content,1
580,2023-09-01,Referral,1
581,2023-09-01,Partners,1
582,2023-09-01,Partners,2
583,2023-09-01,Paid Search,1
584,2023-09-01,Referral,1
585,2023-09-01,Outbound,1
586,2023-09-01,Partners,1
587,2023-09-01,Referral,2
588,2023-09-01,Outbound,2
589,2023-09-01,Referral,3
590,2023-09-01,Content,3
591,2023-09-01,Referral,1
592,2023-09-01,Partners,1
593,2023-09-01,Referral,1
594,2023-09-01,Referral,2
595,2023-09-01,Partners,1
596,2023-09-01,Paid Search,1
597,2023-09-01,Partners,1
598,2023-09-01,Partners,1
599,2023-09-01,Partners,2
600,2023-09-01,Outbound,1
601,2023-09-01,Paid Search,1
602,2023-09-01,Content,1
603,2023-09-01,Content,1
604,2023-09-01,Content,2
605,2023-09-01,Paid Search,2
606,2023-09-01,Partners,1
607,2023-09-01,Partners,1
608,2023-09-01,Content,3
609,2023-09-01,Referral,2
610,2023-09-01,Referral,2
611,2023-09-01,Outbound,1
612,2023-09-01,Referral,2
613,2023-09-01,Content,1
614,2023-09-01,Referral,1
615,2023-09-01,Partners,1
616,2023-09-01,Referral,3
617,2023-09-01,Referral,1
618,2023-09-01,Paid Search,1
619,2023-09-01,Referral,2
620,2023-09-01,Partners,1
621,2023-09-01,Referral,1
622,2023-09-01,Partners,1
623,2023-09-01,Partners,1
624,2023-09-01,Paid Search,1
625,2023-09-01,Paid Search,2
626,2023-09-01,Partners,3
627,2023-09-01,Content,1
628,2023-09-01,Referral,1
629,2023-09-01,Paid Search,2
630,2023-09-01,Paid Search,3
631,2023-09-01,Outbound,3
632,2023-09-01,Content,2
633,2023-09-01,Referral,2
634,2023-09-01,Partners,2
635,2023-09-01,Referral,1
636,2023-09-01,Partners,1
637,2023-09-01,Outbound,2
638,2023-09-01,Outbound,2
639,2023-09-01,Content,2
640,2023-09-01,Paid Search,2
641,2023-09-01,Partners,2
642,2023-09-01,Partners,2
643,2023-09-01,Content,1
644,2023-09-01,Paid Search,1
645,2023-09-01,Referral,3
646,2023-09-01,Content,1
647,2023-09-01,Referral,1
648,2023-09-01,Paid Search,1
649,2023-09-01,Outbound,1
650,2023-09-01,Referral,1
651,2023-09-01,Referral,2
652,2023-09-01,Referral,1
653,2023-09-01,Outbound,1
654,2023-09-01,Partners,1
655,2023-09-01,Content,2
656,2023-09-01,Outbound,2
657,2023-09-01,Partners,2
658,2023-09-01,Content,1
659,2023-09-01,Partners,1
660,2023-09-01,Partners,1
661,2023-09-01,Outbound,1
662,2023-09-01,Paid Search,2
663,2023-09-01,Content,1
664,2023-09-01,Paid Search,1
665,2023-09-01,Content,1
666,2023-09-01,Referral,2
667,2023-09-01,Paid Search,2
668,2023-09-01,Paid Search,1
669,2023-09-01,Partners,3
670,2023-09-01,Paid Search,3
671,2023-10-01,Referral,1
672,2023-10-01,Content,1
673,2023-10-01,Content,2
674,2023-10-01,Content,1
675,2023-10-01,Partners,1
676,2023-10-01,Paid Search,1
677,2023-10-01,Partners,1
678,2023-10-01,Paid Search,2
679,2023-10-01,Content,2
680,2023-10-01,Partners,1
681,2023-10-01,Content,1
682,2023-10-01,Paid Search,1
683,2023-10-01,Partners,2
684,2023-10-01,Paid Search,1
685,2023-10-01,Partners,1
686,2023-10-01,Paid Search,1
687,2023-10-01,Content,1
688,2023-10-01,Paid Search,1
689,2023-10-01,Outbound,2
690,2023-10-01,Referral,1
691,2023-10-01,Referral,1
692,2023-10-01,Partners,1
693,2023-10-01,Paid Search,1
694,2023-10-01,Outbound,2
695,2023-10-01,Content,1
696,2023-10-01,Content,2
697,2023-10-01,Content,1
698,2023-10-01,Outbound,2
699,2023-10-01,Outbound,1
700,2023-10-01,Content,3
701,2023-10-01,Content,1
702,2023-10-01,Outbound,1
703,2023-10-01,Paid Search,3
704,2023-10-01,Paid Search,1
705,2023-10-01,Paid Search,1
706,2023-10-01,Partners,1
707,2023-10-01,Partners,2
708,2023-10-01,Content,1
709,2023-10-01,Referral,3
710,2023-10-01,Outbound,3
711,2023-10-01,Content,3
712,2023-10-01,Outbound,1
713,2023-10-01,Referral,2
714,2023-10-01,Partners,2
715,2023-10-01,Referral,1
716,2023-10-01,Paid Search,2
717,2023-10-01,Referral,3
718,2023-10-01,Content,1
719,2023-10-01,Outbound,1
720,2023-10-01,Partners,1
721,2023-10-01,Outbound,1
722,2023-10-01,Partners,2
723,2023-10-01,Referral,1
724,2023-10-01,Content,1
725,2023-10-01,Referral,1
726,2023-10-01,Content,1
727,2023-10-01,Paid Search,1
728,2023-10-01,Paid Search,3
729,2023-10-01,Paid Search,1
730,2023-10-01,Outbound,1
731,2023-10-01,Outbound,1
732,2023-10-01,Partners,2
733,2023-10-01,Content,2
734,2023-10-01,Partners,1
735,2023-10-01,Partners,2
736,2023-10-01,Referral,1
737,2023-10-01,Content,2
738,2023-10-01,Paid Search,3
739,2023-10-01,Outbound,1
740,2023-10-01,Referral,1
741,2023-10-01,Referral,3
742,2023-10-01,Outbound,3
743,2023-10-01,Paid Search,2
744,2023-10-01,Paid Search,1
745,2023-10-01,Partners,1
746,2023-10-01,Outbound,1
747,2023-10-01,Referral,1
748,2023-10-01,Paid Search,2
749,2023-10-01,Outbound,1
750,2023-10-01,Partners,1
751,2023-10-01,Paid Search,2
752,2023-10-01,Partners,1
753,2023-10-01,Referral,1
754,2023-10-01,Outbound,2
755,2023-10-01,Content,3
756,2023-10-01,Partners,1
757,2023-10-01,Content,2
758,2023-10-01,Content,2
759,2023-10-01,Paid Search,1
760,2023-10-01,Paid Search,1
761,2023-10-01,Paid Search,1
762,2023-10-01,Partners,1
763,2023-10-01,Paid Search,2
764,2023-10-01,Content,1
765,2023-10-01,Content,1
766,2023-10-01,Content,1
767,2023-10-01,Outbound,2
768,2023-10-01,Outbound,1
769,2023-10-01,Outbound,2
770,2023-10-01,Paid Search,1
771,2023-10-01,Content,1
772,2023-10-01,Outbound,1
773,2023-10-01,Partners,1
774,2023-10-01,Paid Search,1
775,2023-10-01,Partners,1
776,2023-10-01,Content,1
777,2023-10-01,Paid Search,2
778,2023-10-01,Outbound,1
779,2023-10-01,Content,1
780,2023-10-01,Referral,1
781,2023-10-01,Content,1
782,2023-10-01,Paid Search,1
783,2023-10-01,Content,1
784,2023-10-01,Paid Search,1
785,2023-10-01,Content,1
786,2023-10-01,Referral,1
787,2023-10-01,Partners,1
788,2023-10-01,Outbound,1
789,2023-10-01,Content,3
790,2023-10-01,Content,3
791,2023-10-01,Referral,1
792,2023-10-01,Content,1
793,2023-10-01,Outbound,1
794,2023-10-01,Partners,1
795,2023-10-01,Outbound,1
796,2023-10-01,Paid Search,2
797,2023-10-01,Content,2
798,2023-10-01,Referral,1
799,2023-10-01,Content,2
800,2023-10-01,Partners,1
801,2023-10-01,Partners,3
802,2023-10-01,Content,1
803,2023-10-01,Referral,2
804,2023-10-01,Partners,2
805,2023-10-01,Outbound,2
806,2023-10-01,Partners,1
807,2023-11-01,Content,3
808,2023-11-01,Content,1
809,2023-11-01,Outbound,1
810,2023-11-01,Partners,2
811,2023-11-01,Referral,1
812,2023-11-01,Partners,2
813,2023-11-01,Paid Search,1
814,2023-11-01,Paid Search,1
815,2023-11-01,Outbound,1
816,2023-11-01,Outbound,1
817,2023-11-01,Paid Search,1
818,2023-11-01,Referral,1
819,2023-11-01,Paid Search,1
820,2023-11-01,Paid Search,2
821,2023-11-01,Outbound,1
822,2023-11-01,Referral,1
823,2023-11-01,Outbound,2
824,2023-11-01,Outbound,2
825,2023-11-01,Paid Search,2
826,2023-11-01,Content,1
827,2023-11-01,Outbound,1
828,2023-11-01,Paid Search,1
829,2023-11-01,Partners,1
830,2023-11-01,Content,1
831,2023-11-01,Content,1
832,2023-11-01,Partners,1
833,2023-11-01,Paid Search,1
834,2023-11-01,Partners,1
835,2023-11-01,Referral,3
836,2023-11-01,Outbound,1
837,2023-11-01,Paid Search,1
838,2023-11-01,Partners,1
839,2023-11-01,Partners,1
840,2023-11-01,Partners,2
841,2023-11-01,Outbound,1
842,2023-11-01,Outbound,1
843,2023-11-01,Partners,1
844,2023-11-01,Paid Search,1
845,2023-11-01,Content,3
846,2023-11-01,Content,1
847,2023-11-01,Content,1
848,2023-11-01,Paid Search,2
849,2023-11-01,Paid Search,1
850,2023-11-01,Outbound,2
851,2023-11-01,Content,1
852,2023-11-01,Paid Search,1
853,2023-11-01,Referral,1
854,2023-11-01,Content,1
855,2023-11-01,Paid Search,2
856,2023-11-01,Outbound,1
857,2023-11-01,Content,1
858,2023-11-01,Paid Search,1
859,2023-11-01,Outbound,1
860,2023-11-01,Referral,2
861,2023-11-01,Content,1
862,2023-11-01,Outbound,2
863,2023-11-01,Partners,1
864,2023-11-01,Partners,1
865,2023-11-01,Referral,1
866,2023-11-01,Partners,3
867,2023-11-01,Paid Search,1
868,2023-11-01,Content,3
869,2023-11-01,Outbound,2
870,2023-11-01,Outbound,2
871,2023-11-01,Content,1
872,2023-11-01,Referral,2
873,2023-11-01,Paid Search,2
874,2023-11-01,Paid Search,1
875,2023-11-01,Referral,1
876,2023-11-01,Partners,1
877,2023-11-01,Paid Search,2
878,2023-11-01,Referral,2
879,2023-11-01,Content,1
880,2023-11-01,Outbound,1
881,2023-11-01,Referral,1
882,2023-11-01,Partners,2
883,2023-11-01,Paid Search,1
884,2023-11-01,Content,1
885,2023-11-01,Outbound,1
886,2023-11-01,Content,1
887,2023-11-01,Outbound,2
888,2023-11-01,Referral,1
889,2023-11-01,Paid Search,1
890,2023-11-01,Outbound,1
891,2023-11-01,Outbound,1
892,2023-11-01,Paid Search,1
893,2023-11-01,Outbound,1
894,2023-11-01,Content,1
895,2023-11-01,Paid Search,3
896,2023-11-01,Outbound,1
897,2023-11-01,Paid Search,2
898,2023-11-01,Referral,1
899,2023-11-01,Content,2
900,2023-11-01,Outbound,2
901,2023-11-01,Paid Search,1
902,2023-11-01,Outbound,1
903,2023-11-01,Outbound,3
904,2023-11-01,Content,2
905,2023-11-01,Paid Search,1
906,2023-11-01,Content,1
907,2023-11-01,Outbound,1
908,2023-11-01,Outbound,1
909,2023-11-01,Partners,1
